fips,state,elect_votes,state_win
1,Alabama,9,0
2,Alaska,3,0
4,Arizona,11,1
5,Arkansas,6,0
6,California,55,1
8,Colorado,9,1
9,Connecticut,7,1
10,Delaware,3,1
11,District of Columbia,3,1
12,Florida,29,0
13,Georgia,16,1
15,Hawaii,4,1
16,Idaho,4,0
17,Illinois,20,1
18,Indiana,11,0
19,Iowa,6,0
20,Kansas,6,0
21,Kentucky,8,0
22,Louisiana,8,0
23,Maine,2,1
24,Maryland,10,1
25,Massachusetts,11,1
26,Michigan,16,1
27,Minnesota,10,1
28,Mississippi,6,0
29,Missouri,10,0
30,Montana,3,0
31,Nebraska,2,0
32,Nevada,6,1
33,New Hampshire,4,1
34,New Jersey,14,1
35,New Mexico,5,1
36,New York,29,1
37,North Carolina,15,0
38,North Dakota,3,0
39,Ohio,18,0
40,Oklahoma,7,0
41,Oregon,7,1
42,Pennsylvania,20,1
44,Rhode Island,4,1
45,South Carolina,9,0
46,South Dakota,3,0
47,Tennessee,11,0
48,Texas,38,0
49,Utah,6,0
50,Vermont,3,1
51,Virginia,13,1
53,Washington,12,1
54,West Virginia,5,0
55,Wisconsin,10,1
56,Wyoming,3,0